번호,이름,url,review_num
1,삼성전자,o,
2,LG에너지솔루션,https://www.teamblind.com/kr/company/LG%EC%97%90%EB%84%88%EC%A7%80%EC%86%94%EB%A3%A8%EC%85%98/reviews,1925 
3,SK하이닉스,https://www.teamblind.com/kr/company/SK%ED%95%98%EC%9D%B4%EB%8B%89%EC%8A%A4/reviews,4848 
4,삼성바이오로직스,https://www.teamblind.com/kr/company/%EC%82%BC%EC%84%B1%EB%B0%94%EC%9D%B4%EC%98%A4%EB%A1%9C%EC%A7%81%EC%8A%A4/reviews,1530 
5,삼성전자우,o,
6,POSCO홀딩스,https://www.teamblind.com/kr/company/%ED%8F%AC%EC%8A%A4%EC%BD%94%ED%99%80%EB%94%A9%EC%8A%A4/reviews,15 
7,현대차,o,
8,LG화학,https://www.teamblind.com/kr/company/LG%ED%99%94%ED%95%99/reviews,3234 
9,기아,https://www.teamblind.com/kr/company/%EA%B8%B0%EC%95%84/reviews,1405 
10,NAVER,o,
11,삼성SDI,https://www.teamblind.com/kr/company/%EC%82%BC%EC%84%B1SDI/reviews,1527 
12,에코프로비엠,https://www.teamblind.com/kr/company/%EC%97%90%EC%BD%94%ED%94%84%EB%A1%9C%EB%B9%84%EC%97%A0/reviews,412 
13,포스코퓨처엠,https://www.teamblind.com/kr/company/%ED%8F%AC%EC%8A%A4%EC%BD%94%ED%93%A8%EC%B2%98%EC%97%A0/reviews,512 
14,셀트리온,https://www.teamblind.com/kr/company/%EC%85%80%ED%8A%B8%EB%A6%AC%EC%98%A8/reviews,930 
15,카카오,o,
16,삼성물산,o,
17,현대모비스,https://www.teamblind.com/kr/company/%ED%98%84%EB%8C%80%EB%AA%A8%EB%B9%84%EC%8A%A4/reviews,2502 
18,KB금융,https://www.teamblind.com/kr/company/KB%EA%B8%88%EC%9C%B5%EC%A7%80%EC%A3%BC/reviews,27 
19,에코프로,https://www.teamblind.com/kr/company/%EC%97%90%EC%BD%94%ED%94%84%EB%A1%9C/reviews,76 
20,신한지주,https://www.teamblind.com/kr/company/%EC%8B%A0%ED%95%9C%EA%B8%88%EC%9C%B5%EC%A7%80%EC%A3%BC%ED%9A%8C%EC%82%AC/reviews,21 
21,LG전자,https://www.teamblind.com/kr/company/LG%EC%A0%84%EC%9E%90/reviews,7044 
22,SK이노베이션,https://www.teamblind.com/kr/company/SK%EC%9D%B4%EB%85%B8%EB%B2%A0%EC%9D%B4%EC%85%98/reviews,2069 
23,삼성생명,https://www.teamblind.com/kr/company/%EC%82%BC%EC%84%B1%EC%83%9D%EB%AA%85/reviews,503 
24,삼성에스디에스,https://www.teamblind.com/kr/company/%EC%82%BC%EC%84%B1SDS/reviews,2216 
25,LG,https://www.teamblind.com/kr/company/LG/reviews,33 
26,삼성화재,https://www.teamblind.com/kr/company/%EC%82%BC%EC%84%B1%ED%99%94%EC%9E%AC%ED%95%B4%EC%83%81%EB%B3%B4%ED%97%98/reviews,794 
27,카카오뱅크,https://www.teamblind.com/kr/company/%EC%B9%B4%EC%B9%B4%EC%98%A4%EB%B1%85%ED%81%AC/reviews,646 
28,하나금융지주,https://www.teamblind.com/kr/company/%ED%95%98%EB%82%98%EA%B8%88%EC%9C%B5%EC%A7%80%EC%A3%BC/reviews,9 
29,SK,https://www.teamblind.com/kr/company/SK/reviews,637 
30,한국전력,https://www.teamblind.com/kr/company/%ED%95%9C%EA%B5%AD%EC%A0%84%EB%A0%A5%EA%B3%B5%EC%82%AC/reviews,2935 
31,셀트리온헬스케어,https://www.teamblind.com/kr/company/%EC%85%80%ED%8A%B8%EB%A6%AC%EC%98%A8%ED%97%AC%EC%8A%A4%EC%BC%80%EC%96%B4/reviews,90 
32,KT&G,https://www.teamblind.com/kr/company/KT&G/reviews,235 
33,메리츠금융지주,https://www.teamblind.com/kr/company/%EB%A9%94%EB%A6%AC%EC%B8%A0%EA%B8%88%EC%9C%B5%EC%A7%80%EC%A3%BC/reviews,7 
34,SK텔레콤,https://www.teamblind.com/kr/company/SK%ED%85%94%EB%A0%88%EC%BD%A4/reviews,1494 
35,삼성전기,https://www.teamblind.com/kr/company/%EC%82%BC%EC%84%B1%EC%A0%84%EA%B8%B0/reviews,980 
36,HD현대중공업,https://www.teamblind.com/kr/company/HD%ED%98%84%EB%8C%80%EC%A4%91%EA%B3%B5%EC%97%85/reviews,1392 
37,HMM,https://www.teamblind.com/kr/company/HMM/reviews,312 
38,크래프톤,https://www.teamblind.com/kr/company/%ED%81%AC%EB%9E%98%ED%94%84%ED%86%A4/reviews,597 
39,고려아연,https://www.teamblind.com/kr/company/%EA%B3%A0%EB%A0%A4%EC%95%84%EC%97%B0/reviews,348 
40,포스코인터내셔널,https://www.teamblind.com/kr/company/%ED%8F%AC%EC%8A%A4%EC%BD%94%EC%9D%B8%ED%84%B0%EB%82%B4%EC%85%94%EB%84%90/reviews,62 
41,두산에너빌리티,https://www.teamblind.com/kr/company/%EB%91%90%EC%82%B0%EC%97%90%EB%84%88%EB%B9%8C%EB%A6%AC%ED%8B%B0/reviews,846 
42,기업은행,https://www.teamblind.com/kr/company/%EA%B8%B0%EC%97%85%EC%9D%80%ED%96%89/reviews,1316 
43,에코프로머티,https://www.teamblind.com/kr/company/%EC%97%90%EC%BD%94%ED%94%84%EB%A1%9C%EB%A8%B8%ED%8B%B0%EB%A6%AC%EC%96%BC%EC%A6%88/reviews,94 
44,포스코DX,https://www.teamblind.com/kr/company/%ED%8F%AC%EC%8A%A4%EC%BD%94DX/reviews,356 
45,하이브,https://www.teamblind.com/kr/company/%ED%95%98%EC%9D%B4%EB%B8%8C/reviews,614 
46,KT,https://www.teamblind.com/kr/company/KT/reviews,1667 
47,한화오션,https://www.teamblind.com/kr/company/%ED%95%9C%ED%99%94%EC%98%A4%EC%85%98/reviews,975 
48,대한항공,o,
49,S-Oil,https://www.teamblind.com/kr/company/S-Oil/reviews,411 
50,KB국민은행,https://www.teamblind.com/kr/company/KB%EA%B5%AD%EB%AF%BC%EC%9D%80%ED%96%89/reviews,1153 
